trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-51.54241983862187,"{0: 17, 1: 3, 2: 4, 3: 1, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-147.5694772126957,"{0: 13, 1: 3, 2: 5, 3: 3, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",35,0,-133.1560232492278,"{0: 24, 1: 4, 2: 4, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-262.7590898797133,"{0: 9, 1: 2, 2: 8, 3: 3, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",30,5,-50.346653260443496,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 0}",1
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-123.11073472065655,"{0: 16, 1: 2, 2: 3, 3: 3, 4: 1}",1
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",30,0,-94.21471296075302,"{0: 22, 1: 2, 2: 3, 3: 2, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",30,0,-94.69215229166805,"{0: 22, 1: 4, 2: 2, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-97.55083177787881,"{0: 17, 1: 2, 2: 3, 3: 2, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-96.77067594661501,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-46.48285842915901,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,9,-34.43812286224246,"{0: 12, 1: 0, 2: 2, 3: 2, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,-57.9962202045923,"{0: 19, 1: 3, 2: 1, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-28.923383099621145,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,4,-120.90737472397346,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 3}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,7,-10.039486828305316,"{0: 11, 1: 0, 2: 1, 3: 1, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,9,-42.50138828814803,"{0: 12, 1: 0, 2: 2, 3: 2, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,16,7.897011778703946,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",30,2,45.68606268385448,"{0: 28, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,14,7.426238308147662,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,10,15.986030020925945,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",25,10,22.91923431259231,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,3,4.588741980544636,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",25,3,-49.283253948135,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 2}",1
5,True,"{'a': 0, 'e': 0}",25,18,-7.990029409959499,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,0,-36.58196969255835,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
7,True,"{'a': 0, 'e': 0}",25,0,-43.64451907921319,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 2}",0
8,True,"{'a': 0, 'e': 0}",20,3,27.035721814019794,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,12,-27.933560812087595,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
10,True,"{'a': 0, 'e': 0}",25,4,-5.774886288171676,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 1}",1
