trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.35, 'e': 1.45}",20,0,-153.37030517170606,"{0: 7, 1: 6, 2: 5, 3: 0, 4: 2}",0
2,False,"{'a': 0.35, 'e': 1.4}",25,0,-165.5148197132516,"{0: 11, 1: 4, 2: 7, 3: 2, 4: 1}",0
3,False,"{'a': 0.35, 'e': 1.3499999999999999}",25,0,-135.38786716586986,"{0: 15, 1: 1, 2: 6, 3: 2, 4: 1}",0
4,False,"{'a': 0.35, 'e': 1.2999999999999998}",30,0,-104.75082218450025,"{0: 22, 1: 2, 2: 4, 3: 0, 4: 2}",0
5,False,"{'a': 0.35, 'e': 1.2499999999999998}",35,0,-230.8021319007599,"{0: 17, 1: 6, 2: 8, 3: 1, 4: 3}",0
6,False,"{'a': 0.35, 'e': 1.1999999999999997}",20,0,-22.467447211650374,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
7,False,"{'a': 0.35, 'e': 1.1499999999999997}",20,5,-31.327297406050555,"{0: 11, 1: 0, 2: 3, 3: 1, 4: 0}",1
8,False,"{'a': 0.35, 'e': 1.0999999999999996}",30,0,-96.64585900419259,"{0: 18, 1: 7, 2: 4, 3: 0, 4: 1}",0
9,False,"{'a': 0.35, 'e': 1.0499999999999996}",30,0,-178.5552351438227,"{0: 18, 1: 4, 2: 4, 3: 1, 4: 3}",0
10,False,"{'a': 0.35, 'e': 0.9999999999999996}",20,7,-20.937906985519803,"{0: 9, 1: 1, 2: 3, 3: 0, 4: 0}",1
11,False,"{'a': 0.35, 'e': 0.9499999999999995}",35,0,-184.75934843208756,"{0: 21, 1: 3, 2: 7, 3: 2, 4: 2}",0
12,False,"{'a': 0.35, 'e': 0.8999999999999995}",20,0,-130.03167297268928,"{0: 12, 1: 3, 2: 1, 3: 2, 4: 2}",0
13,False,"{'a': 0.35, 'e': 0.8499999999999994}",20,0,-113.44916885199189,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
14,False,"{'a': 0.35, 'e': 0.7999999999999994}",20,0,-102.88953697238748,"{0: 13, 1: 0, 2: 4, 3: 2, 4: 1}",0
15,False,"{'a': 0.35, 'e': 0.7499999999999993}",25,0,-34.854579416344194,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
16,False,"{'a': 0.35, 'e': 0.6999999999999993}",20,3,-88.41380128613318,"{0: 13, 1: 0, 2: 1, 3: 1, 4: 2}",1
17,False,"{'a': 0.35, 'e': 0.6499999999999992}",25,0,-78.08396629945328,"{0: 20, 1: 0, 2: 3, 3: 0, 4: 2}",0
18,False,"{'a': 0.35, 'e': 0.5999999999999992}",25,0,-132.92039719700458,"{0: 16, 1: 2, 2: 2, 3: 4, 4: 1}",0
19,False,"{'a': 0.35, 'e': 0.5499999999999992}",25,0,-107.27415731524391,"{0: 20, 1: 2, 2: 0, 3: 0, 4: 3}",0
20,False,"{'a': 0.35, 'e': 0.49999999999999917}",20,1,-55.42489129812259,"{0: 12, 1: 3, 2: 2, 3: 2, 4: 0}",1
21,False,"{'a': 0.35, 'e': 0.4499999999999992}",35,0,-137.45692054693228,"{0: 27, 1: 2, 2: 2, 3: 1, 4: 3}",0
22,False,"{'a': 0.35, 'e': 0.3999999999999992}",20,0,-45.458115815488874,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
23,False,"{'a': 0.35, 'e': 0.3499999999999992}",25,3,-57.31539581685865,"{0: 15, 1: 0, 2: 6, 3: 1, 4: 0}",1
24,False,"{'a': 0.35, 'e': 0.2999999999999992}",20,0,-11.252484641049495,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
25,False,"{'a': 0.35, 'e': 0.24999999999999922}",30,16,-6.042698796976098,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 0}",1
26,False,"{'a': 0.35, 'e': 0.19999999999999923}",20,0,-6.464172920907753,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
27,False,"{'a': 0.35, 'e': 0.14999999999999925}",25,5,33.302953888041266,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
