trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-302.2359033006171,"{0: 10, 1: 4, 2: 5, 3: 0, 4: 6}",0
2,False,"{'a': 0.5, 'e': 1.0}",35,0,-274.96539604659114,"{0: 18, 1: 7, 2: 5, 3: 0, 4: 5}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,3,-60.06008506542926,"{0: 11, 1: 3, 2: 2, 3: 0, 4: 1}",1
4,False,"{'a': 0.5, 'e': 1.0}",30,0,-77.60036601199158,"{0: 23, 1: 0, 2: 6, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",35,0,-76.53930843092299,"{0: 26, 1: 3, 2: 3, 3: 3, 4: 0}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-126.0984956953452,"{0: 14, 1: 0, 2: 8, 3: 3, 4: 0}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-130.38416592054327,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-111.90657275185704,"{0: 11, 1: 8, 2: 4, 3: 2, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",30,0,-122.53084534313516,"{0: 21, 1: 3, 2: 1, 3: 4, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-121.5479597573831,"{0: 9, 1: 2, 2: 8, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-76.46899638193672,"{0: 11, 1: 3, 2: 5, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 1.0}",35,0,-234.08604026602137,"{0: 17, 1: 3, 2: 11, 3: 2, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-60.87961032725914,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-183.03388723361897,"{0: 13, 1: 2, 2: 7, 3: 0, 4: 3}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-65.39823048670802,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-212.6958569930918,"{0: 9, 1: 2, 2: 5, 3: 0, 4: 4}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-144.79898607076106,"{0: 12, 1: 6, 2: 5, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-65.51587132874947,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",30,0,-118.17816322723723,"{0: 16, 1: 8, 2: 4, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-116.58913083078987,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-95.84309056457688,"{0: 11, 1: 1, 2: 6, 3: 2, 4: 0}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-89.10867462276681,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-89.75088513490373,"{0: 11, 1: 5, 2: 3, 3: 0, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-55.15593566635571,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
5,True,"{'a': 0.5, 'e': 1.0}",30,0,-112.82538218580277,"{0: 20, 1: 4, 2: 3, 3: 2, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-139.42479034630372,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 3}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-158.38602545197924,"{0: 13, 1: 2, 2: 8, 3: 0, 4: 2}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-106.07747833467228,"{0: 18, 1: 3, 2: 1, 3: 1, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-110.23995219206179,"{0: 14, 1: 4, 2: 5, 3: 1, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-63.82393123655616,"{0: 14, 1: 8, 2: 2, 3: 1, 4: 0}",0
